"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","MainWindowHandle","MainWindowTitle","Responding","ProcessName","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","Site","Container"
"gvfsd-trash","1032","17","546766848","7323648","524288","0","/usr/libexec/gvfsd-trash","/usr/libexec/gvfsd-trash --spawner :1.22 /org/gtk/gvfs/exec_spaw/0","System.Diagnostics.Process (gvfsd)",,"0.32",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2784","0",,"False","8/15/2025 1:32:20 AM",,"1333",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","524288","524288","524288","524288","0","0","8896512","8896512","546766848","546766848","False","Normal","60530688","60530688","15","1032",,"System.Diagnostics.ProcessThreadCollection","17","546766848","546766848","False",,,,"7323648","7323648",,"System.Diagnostics.ProcessModule (gvfsd-trash)","0","","True","gvfsd-trash","00:00:00.1900000","00:00:00.3200000","00:00:00.1300000",,
"gvfsd-wsdd","1032","12","395522048","6705152","524288","0","/usr/libexec/gvfsd-wsdd","/usr/libexec/gvfsd-wsdd --spawner :1.22 /org/gtk/gvfs/exec_spaw/3","System.Diagnostics.Process (gvfsd)",,"4.61",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","172","0",,"False","8/15/2025 1:40:49 AM",,"6078",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","524288","524288","524288","524288","0","0","8278016","8278016","395522048","395522048","False","Normal","43479040","43479040","15","1032",,"System.Diagnostics.ProcessThreadCollection","12","395522048","395522048","False",,,,"6705152","6705152",,"System.Diagnostics.ProcessModule (gvfsd-wsdd)","0","","True","gvfsd-wsdd","00:00:01.8700000","00:00:04.6100000","00:00:02.7400000",,
"haveged","529",,"8568832","2125824","4456448","0",,"/usr/sbin/haveged --Foreground --verbose=1","System.Diagnostics.Process (systemd)",,"10.93",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2684","0",,"False","8/15/2025 1:32:02 AM",,"529",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","4456448","4456448","4456448","4456448","0","0","7102464","7102464","8966144","8966144","False","Normal","6193152","6193152","15","529",,"System.Diagnostics.ProcessThreadCollection",,"8568832","8568832","False",,,,"2125824","2125824",,,"0","","True","haveged","00:00:07.0400000","00:00:10.9300000","00:00:03.8900000",,
"idle_inject/0","0",,"0","0","0","0",,,"System.Diagnostics.Process (kthreadd)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3052","0",,"False","8/15/2025 1:31:55 AM",,"21",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","1","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","idle_inject/0","00:00:00","00:00:00","00:00:00",,
"idle_inject/1","0",,"0","0","0","0",,,"System.Diagnostics.Process (kthreadd)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1616","0",,"False","8/15/2025 1:31:55 AM",,"24",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","2","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","idle_inject/1","00:00:00","00:00:00","00:00:00",,
"idle_inject/2","0",,"0","0","0","0",,,"System.Diagnostics.Process (kthreadd)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3684","0",,"False","8/15/2025 1:31:55 AM",,"30",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","4","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","idle_inject/2","00:00:00","00:00:00","00:00:00",,
"idle_inject/3","0",,"0","0","0","0",,,"System.Diagnostics.Process (kthreadd)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3136","0",,"False","8/15/2025 1:31:55 AM",,"36",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","8","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","idle_inject/3","00:00:00","00:00:00","00:00:00",,
"irq/18-vmwgfx","0",,"0","0","0","0",,,"System.Diagnostics.Process (kthreadd)",,"0.01",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2960","0",,"False","8/15/2025 1:31:57 AM",,"277",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","2","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","irq/18-vmwgfx","00:00:00","00:00:00.0100000","00:00:00.0100000",,
"irq/9-acpi","0",,"0","0","0","0",,,"System.Diagnostics.Process (kthreadd)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3332","0",,"False","8/15/2025 1:31:55 AM",,"61",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","2","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","irq/9-acpi","00:00:00","00:00:00","00:00:00",,
"jbd2/sda1-8","0",,"0","0","0","0",,,"System.Diagnostics.Process (kthreadd)",,"9.09",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1864","0",,"False","8/15/2025 1:32:00 AM",,"312",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","15","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","jbd2/sda1-8","00:00:09.0900000","00:00:09.0900000","00:00:00",,
